Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100n","C_0603_1608Metric",88.882532,-62.929548,0.000000,bottom
"U2","IS62C256AL-45TLI","TSOP-I-28_11.8x8mm_P0.55mm_SRAM",86.111000,-54.097000,90.000000,bottom
"C1.1","100n","C_0603_1608Metric",80.218200,-63.393400,-90.000000,top
"C1.2","100n","C_0603_1608Metric",85.425200,-64.028400,180.000000,top
"C1.3","100n","C_0603_1608Metric",91.089732,-63.266348,-90.000000,top
"C1.4","100n","C_0603_1608Metric",83.647200,-48.788400,180.000000,top
"C3","100n","C_0603_1608Metric",86.262400,-40.939800,90.000000,top
"C4","100n","C_0603_1608Metric",84.612400,-40.939800,90.000000,top
"C5","10u","C_0603_1608Metric",90.759200,-71.394400,-90.000000,top
"R1","47R","R_0603_1608Metric",80.980200,-45.105400,90.000000,top
"R2","10K","R_0603_1608Metric",87.912400,-40.939800,90.000000,top
"RN1","10K","R_Array_Convex_4x0603",90.355732,-41.263348,180.000000,top
"U1","ATF1504AS-xAx44","TQFP-44_10x10mm_P0.8mm",85.603000,-56.383000,0.000000,top
"U3","74LVC1G17","SOT-23-5",84.587000,-45.562600,0.000000,top
"X1","48MHz","Oscillator_SMD_Yajingxin_TFOM48M4RHKCNT2T-4Pin_3.2x2.5mm",81.592732,-41.009348,180.000000,top
